claim_id,paper_role,status,analysis,comparison,feature_set,metric,observed_mean_diff,boot_mean,boot_std,ci95_low,ci95_high,p_boot_le_zero,p_boot_ge_zero,n_boot,ci_excludes_zero,interpretation
B1,"Compression vs embedding, partially controlled structural target.",selected,compression_vs_baseline,compression_distilgpt2_minus_embedding_contrast,other_human_targets,score_pref_struct,0.1283706563706563,0.0995778735151828,0.1710742254104098,-0.2290724083829605,0.433378526565762,0.2832,0.7168,5000,False,"Point estimate positive, but CI includes zero; unresolved at item level."
B2,"Compression vs TF-IDF, partially controlled structural target.",selected,compression_vs_baseline,compression_distilgpt2_minus_tfidf_contrast,other_human_targets,score_pref_struct,0.1701724581724582,0.1655499823867131,0.1913203014556188,-0.2285897266476315,0.5269217731001804,0.187,0.813,5000,False,"Point estimate positive, but CI includes zero; unresolved at item level."
B3,"Compression vs embedding, fully stacked structural target.",selected,compression_vs_baseline,compression_distilgpt2_minus_embedding_contrast,stacked,score_pref_struct,0.0125714285714285,0.0175915595615752,0.2213418277773727,-0.4074154144767005,0.454174626586573,0.4684,0.5316,5000,False,"Point estimate positive, but CI includes zero; unresolved at item level."
B4,"Compression vs TF-IDF, fully stacked structural target.",selected,compression_vs_baseline,compression_distilgpt2_minus_tfidf_contrast,stacked,score_pref_struct,0.0387129987129987,0.0604258295389618,0.1989336734463092,-0.3420982968842635,0.4510032262227383,0.3774,0.6226,5000,False,"Point estimate positive, but CI includes zero; unresolved at item level."
B5,"Matched-other vs explicit normalization, partially controlled.",selected,matched_other_diagnostic,struct_matched_other_minus_raw_plus_ctrl_surface_nll,other_human_targets,variant_rho,0.0737400257400257,0.1106324501750238,0.1072337774617007,-0.1021451303272442,0.3168722717293037,0.1552,0.8448,5000,False,"Point estimate positive, but CI includes zero; unresolved at item level."
B6,"Matched-other vs explicit normalization, fully stacked.",selected,matched_other_diagnostic,struct_matched_other_minus_raw_plus_ctrl_surface_nll,stacked,variant_rho,0.0543320463320463,0.062339162055391,0.0654074075397761,-0.0711492358318032,0.1878295434085269,0.1608,0.8392,5000,False,"Point estimate positive, but CI includes zero; unresolved at item level."
