feature_set,metric,compression,embedding,tfidf,compression_minus_embedding,compression_minus_tfidf
none,score_pref_struct,0.4091842809236345,0.2113708422631655,0.11476919060474207,0.19781343866046902,0.29441509031889246
other_human_plus_surface,score_pref_struct,0.20897812097812105,0.18947747747747748,0.13953153153153156,0.019500643500643566,0.06944658944658949
other_human_targets,score_pref_struct,0.2665431145431146,0.13817245817245818,0.09637065637065638,0.1283706563706564,0.17017245817245819
