bootstrap_id,analysis,method,feature_set,metric,boot_mean_rho,n_runs
6,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.13447865459249678,25
7,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.21496774193548387,25
7,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.00138322580645161,25
7,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.001197419354838718,25
7,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,-0.04392258064516128,25
7,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.1300025806451613,25
7,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.025052903225806448,25
7,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,-0.1293316129032258,25
7,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.1383122580645161,25
7,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.10181161290322581,25
8,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.2134364526939933,25
8,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.15013147718484146,25
8,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.11881412735241044,25
8,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.09109564320701212,25
8,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.47163701985047696,25
8,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.5641453982985305,25
8,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.08203145140500129,25
8,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.2611291569992266,25
8,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.37579788605310654,25
9,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.11390810531750127,25
9,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.19993804852865252,25
9,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.4695818275684047,25
9,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.2823335054207537,25
9,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.24032008260196175,25
9,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.12965410428497676,25
9,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.35551884357253477,25
9,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.33898812596799177,25
9,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.21709860609189466,25
10,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.062187742435996916,25
10,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.03947245927075252,25
10,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.3892733385053013,25
10,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.08919575898629431,25
10,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.15378329454357384,25
10,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.23370054305663307,25
10,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.09345746056374452,25
10,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.10953193690199121,25
10,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.5016291698991467,25
11,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.350849166343544,25
11,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.3571358407651545,25
11,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.3960863383740467,25
11,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.3667726508982809,25
11,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.30081426909654907,25
11,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.5047175907974667,25
11,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.028408944035155734,25
11,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.02393175649476541,25
11,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.31088535608116835,25
12,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.4022600619195046,25
12,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.3361300309597523,25
12,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.3570485036119711,25
12,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.3847987616099071,25
12,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.36048503611971106,25
12,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.5258101135190918,25
12,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.20674922600619194,25
12,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.2841692466460269,25
12,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.4957585139318886,25
13,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.31443181818181826,25
13,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.3678409090909092,25
13,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.39615702479338843,25
13,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,-0.1368904958677686,25
13,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,-0.0066528925619834724,25
13,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.1828615702479339,25
13,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,-0.036849173553719014,25
13,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.17741735537190087,25
13,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.34135330578512396,25
14,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.09153786508141637,25
14,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,-0.013471181183768421,25
14,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.03035409666580512,25
14,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.11692943913155855,25
14,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.29258206254846214,25
14,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.3478935125355389,25
14,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.11967950374773846,25
14,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.3245386404755752,25
