artifact,path,n_rows,n_cols,sha256
poem_level_bootstrap_summary,/home/eduardo/Projects/poemforge-paper/results/phase_a_eval_results/poem_level_bootstrap_summary.csv,24,13,e59f13540cb78d1af1d04f54e89ffaf6cc9feca38dba0fdf5dbd8a1fc527a964
poem_level_bootstrap_observed,/home/eduardo/Projects/poemforge-paper/results/phase_a_eval_results/poem_level_bootstrap_observed.csv,24,10,56f1ea73dab6915087c30e7bb8357a81db02177afcafb093e6062e91545b72b3
poem_level_bootstrap_samples,/home/eduardo/Projects/poemforge-paper/results/phase_a_eval_results/poem_level_bootstrap_samples.csv,120000,6,f1c01e60c91d49f7fb232707df434c967c5883f36a9d6fbf5e789900e4ae8a15
