readout,metric,source_score_col,feature_set,rho,p_value,n_items,fold_seed,seed,source_file
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,202,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,202,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,202,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,202,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,202,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,202,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,202,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,202,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,202,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,202,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,202,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,202,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,202,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,202,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,202,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,202,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,202,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed202_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,303,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,303,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,303,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,303,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,303,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,303,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,303,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,303,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,303,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,303,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,303,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,303,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,303,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,303,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,303,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,303,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,303,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,303,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,303,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,303,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,303,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,303,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,303,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,303,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,303,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,303,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,303,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,303,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,303,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,303,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed303_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,404,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,404,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,404,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,404,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,404,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,404,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,404,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,404,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,404,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,404,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,404,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,404,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,404,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,404,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,404,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,404,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,404,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,404,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,404,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,404,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,404,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,404,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,404,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed20_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,404,20,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed20_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,404,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,404,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed21_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,404,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,404,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,404,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed21_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,404,21,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed404_seed21_dn8.csv
embedding,score_pref_raw,score_pref_raw,none,0.2879402968809785,0.08857766097778241,36,101,17,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
embedding,score_pref_raw,score_pref_raw,other_human_targets,0.09626769626769627,0.5764884298705198,36,101,17,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
embedding,score_pref_raw,score_pref_raw,other_human_plus_surface,0.09626769626769627,0.5764884298705198,36,101,17,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
embedding,score_pref_struct,score_pref_struct,none,0.13199409852549326,0.4428547191673187,36,101,17,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
embedding,score_pref_struct,score_pref_struct,other_human_targets,-0.0064350064350064354,0.9702874642561806,36,101,17,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
embedding,score_pref_struct,score_pref_struct,other_human_plus_surface,-0.0064350064350064354,0.9702874642561806,36,101,17,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
embedding,score_pref_raw,score_pref_raw,none,0.30674140750021944,0.06881345942653244,36,101,18,supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv
