analysis,method,feature_set,metric,n_runs,observed_mean_rho,boot_mean,boot_std,ci95_low,ci95_high,p_boot_le_zero,p_boot_ge_zero,n_boot,ci_excludes_zero
absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,25,0.20897812097812105,0.18874153989646592,0.13217228266035477,-0.0838562603174223,0.43439146652209254,0.0814,0.9186,5000,False
absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,25,0.2665431145431146,0.24009210047101157,0.14148107350950023,-0.0504051816857105,0.4952585555354616,0.0502,0.9498,5000,False
absolute_effect,compression_distilgpt2,stacked,score_pref_struct,25,0.28550836550836556,0.23628439758694908,0.14567644795528026,-0.0744709963401919,0.5029662836760065,0.0628,0.9372,5000,False
absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,25,0.18947747747747748,0.1824252692575139,0.16204791942141245,-0.1594760531469393,0.48804210626185957,0.1284,0.8716,5000,False
absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,25,0.13817245817245818,0.14051422695582877,0.14195453571697678,-0.14704967516676323,0.4079267521587789,0.1652,0.8348,5000,False
absolute_effect,embedding_contrast,stacked,score_pref_struct,25,0.272936936936937,0.21869283802537384,0.1859119574197531,-0.17465154398103655,0.5649656625714353,0.1216,0.8784,5000,False
absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,25,0.13953153153153156,0.12199116090611192,0.1482969600336399,-0.18366496116346986,0.41079133774075455,0.1988,0.8012,5000,False
absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,25,0.09637065637065638,0.07454211808429843,0.13237831518438556,-0.19341540418068595,0.33708312945271096,0.284,0.716,5000,False
absolute_effect,tfidf_contrast,stacked,score_pref_struct,25,0.24679536679536682,0.17585856804798725,0.1790692153898618,-0.1792389693178219,0.5102068067779222,0.168,0.832,5000,False
