metric,spearman_rho,p_value,source_file,domain_variant,control_variant,seed
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed17_dn32.correlations.csv,formal,matchedctrl,17
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed17_dn32.correlations.csv,formal,matchedctrl,17
v_raw,-0.4362010484119642,0.0024421982947356,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed18_dn32.correlations.csv,formal,matchedctrl,18
v_ctrl,0.0729292072531003,0.6300477009262864,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed18_dn32.correlations.csv,formal,matchedctrl,18
v_struct,-0.2034535923527598,0.1750523261649973,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed18_dn32.correlations.csv,formal,matchedctrl,18
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed18_dn32.correlations.csv,formal,matchedctrl,18
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed18_dn32.correlations.csv,formal,matchedctrl,18
v_raw,-0.415109466543324,0.0041228224368464,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed19_dn32.correlations.csv,formal,matchedctrl,19
v_ctrl,0.1135276999540648,0.452516839434911,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed19_dn32.correlations.csv,formal,matchedctrl,19
v_struct,-0.2204748689485044,0.140921671171691,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed19_dn32.correlations.csv,formal,matchedctrl,19
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed19_dn32.correlations.csv,formal,matchedctrl,19
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_formal_v0_matchedctrl_seed19_dn32.correlations.csv,formal,matchedctrl,19
v_raw,-0.438791242676534,0.0022848142184514,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed17_dn32.correlations.csv,formal,wordctrl,17
v_ctrl,-0.3127351218008017,0.0343364342506359,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed17_dn32.correlations.csv,formal,wordctrl,17
v_struct,-0.0233734196731421,0.8774642769200871,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed17_dn32.correlations.csv,formal,wordctrl,17
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed17_dn32.correlations.csv,formal,wordctrl,17
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed17_dn32.correlations.csv,formal,wordctrl,17
v_raw,-0.4362010484119642,0.0024421982947356,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed18_dn32.correlations.csv,formal,wordctrl,18
v_ctrl,-0.3605920444033302,0.0138243300298545,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed18_dn32.correlations.csv,formal,wordctrl,18
v_struct,0.0051187172371261,0.9730672610977322,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed18_dn32.correlations.csv,formal,wordctrl,18
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed18_dn32.correlations.csv,formal,wordctrl,18
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed18_dn32.correlations.csv,formal,wordctrl,18
v_raw,-0.415109466543324,0.0041228224368464,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed19_dn32.correlations.csv,formal,wordctrl,19
v_ctrl,-0.3700894233734196,0.011354733209522,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed19_dn32.correlations.csv,formal,wordctrl,19
v_struct,0.0234967622571692,0.8768226215279392,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed19_dn32.correlations.csv,formal,wordctrl,19
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed19_dn32.correlations.csv,formal,wordctrl,19
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_formal_v0_wordctrl_seed19_dn32.correlations.csv,formal,wordctrl,19
