status,destination,sha256,n_rows,n_cols,note
generated,/home/eduardo/Projects/poemforge-paper/results/analyses/bootstrap_key_claims.csv,031e2e489afbb67992f33ef44f73134df865bb3a3195de31a2e71a698fd6e392,6,17,Key bootstrap rows for manuscript claims.
generated,/home/eduardo/Projects/poemforge-paper/results/analyses/bootstrap_manuscript_table.csv,46e8b6758a1690e4d4d70b7ad01127d1721ee0f8ce1fc6c703c8ebf3ec9e5e29,6,6,Compact manuscript-facing bootstrap table.
generated,/home/eduardo/Projects/poemforge-paper/results/analyses/bootstrap_file_summary.csv,7bf14cda35aebd48364370ca93141900840ef2656507bd36346f1649a261f97d,3,5,Hashes and dimensions for frozen bootstrap source files.
