status,destination,sha256,n_rows,n_cols,note
generated,/home/eduardo/Projects/poemforge-paper/results/controls/surface_features.csv,cda1ba4e67a20bdd4255b513a8b2a26b807c7bc91938e284dd33cdcc4f1aba1e,46,14,Extracted surface and matched-control features.
generated,/home/eduardo/Projects/poemforge-paper/results/controls/nll_features.csv,e0c3d4eb2df1897491d885aaa5ae02e5961e2bb58d59f38cdc937c4062f9caf9,230,1770,"Extracted item-level NLL/predictability-like features from score artifacts, if present."
generated,/home/eduardo/Projects/poemforge-paper/results/controls/control_feature_inventory.csv,702e407688a8e395f600d3123e33ae70d27d090186bfef3f22383bd65afe55c9,1782,7,Inventory of extracted control features.
generated,/home/eduardo/Projects/poemforge-paper/results/controls/control_summary.csv,7d0247a93598061ee64858a49e53a60e3099621c5903b24eb4c5be2e920826fa,3,5,Summary of control tables.
