status,destination,sha256,n_rows,n_cols,source,note
copied,/home/eduardo/Projects/poemforge-paper/data/processed/items.csv,a152c3c1c080fd550035ab384043fba644ff29288ccf3e3f084603b3f3102af4,46,13,/home/eduardo/Projects/poemforge/eval/poemset/eval_items_all_text.csv,Primary normalized item table used for current paper analyses.
copied,/home/eduardo/Projects/poemforge-paper/data/processed/targets_long.csv,4734cdd5a66a20a93a930e178a7e322129faf865732fd986fb3dc7bea3f30adc,366,7,/home/eduardo/Projects/poemforge/eval/poemset/eval_targets_all_text_long.csv,Long-form normalized target/rating table.
copied,/home/eduardo/Projects/poemforge-paper/data/processed/targets_wide.csv,e832781fca5547f720dfe50d83a55db34614359b0dd57aa10685759f54dcbe96,46,30,/home/eduardo/Projects/poemforge/eval/poemset/eval_targets_per_dimension_wide.csv,Wide-form normalized target/rating table.
copied,/home/eduardo/Projects/poemforge-paper/data/processed/porter_items_s2.csv,e1970e8e6dd52e7020703c6c6b0c2e841e3a0e23a8cab6c62d0b341c5d0c7da1,10,14,/home/eduardo/Projects/poemforge/eval/poemset/eval_items_porter_s2.csv,"Porter Study 2 item table, supporting/contextual."
copied,/home/eduardo/Projects/poemforge-paper/data/processed/porter_targets_s2_long.csv,164eaab8c65818b1b424bce80fa62d73a8df967869405caa97f702feca6e2022,100,5,/home/eduardo/Projects/poemforge/eval/poemset/eval_targets_porter_s2_long.csv,"Porter Study 2 target table, supporting/contextual."
copied,/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,3ce4bb909bfd36434ec50b95d979e9c823a9fb0c74df514e51aea13144a92344,46,41,/home/eduardo/Projects/poemforge/eval/poemset/eval_targets_surface_matched_pools.csv,Surface-matched pool metadata used by matched-control analyses.
copied,/home/eduardo/Projects/poemforge-paper/data/processed/phase_a_poemset_VERSION.txt,bed6077945b6c646315e7cc7b10b980bf686b7565c90c9deed1624f4edd4cb41,,,/home/eduardo/Projects/poemforge/eval/poemset/VERSION.txt,Phase A poemset version/provenance note.
