item_id,target__Felt_Valence,target__rhyme,word_len_calc,char_len_calc,line_count,mean_line_words,max_line_words,short_line_rate,type_token_ratio,avg_word_chars,punct_per_char,archaic_per_word,pool__Surprise_surface_matched
porter_s2_1,,2.6336206896551726,114,560,20,5.7,8,0.05,0.6578947368421053,3.736842105263158,0.0392857142857142,0.0,0.5
porter_s2_2,,2.8204022988505746,203,1084,20,10.15,13,0.0,0.5517241379310345,4.133004926108375,0.040590405904059,0.0049261083743842,0.5
porter_s2_3,,2.771551724137931,81,423,12,6.75,8,0.0,0.691358024691358,4.061728395061729,0.0330969267139479,0.037037037037037,0.5
porter_s2_4,,2.772988505747126,88,440,12,7.333333333333333,8,0.0,0.6704545454545454,3.8068181818181817,0.0409090909090909,0.0,0.5
porter_s2_5,,2.8132183908045976,151,753,20,7.55,10,0.0,0.5894039735099338,3.834437086092715,0.0332005312084993,0.0066225165562913,0.5
porter_s2_6,,2.021551724137931,117,593,14,8.357142857142858,10,0.0,0.6666666666666666,3.957264957264957,0.0236087689713322,0.0854700854700854,0.5
porter_s2_7,,2.08764367816092,32,184,8,4.0,6,0.25,0.96875,4.59375,0.0108695652173913,0.0625,0.5
porter_s2_8,,2.0660919540229883,122,689,18,6.777777777777778,9,0.0,0.7377049180327869,4.352459016393443,0.0522496371552975,0.0,0.5
porter_s2_9,,1.2313218390804597,154,728,26,5.923076923076923,9,0.1153846153846153,0.6493506493506493,3.727272727272727,0.0013736263736263,0.0,0.5
porter_s2_10,,2.3951149425287355,111,587,13,8.538461538461538,10,0.0,0.4594594594594595,4.171171171171171,0.0221465076660988,0.0,0.5
chaudhuri_2024_1,5.53125,,141,752,18,7.833333333333333,11,0.1111111111111111,0.7304964539007093,4.127659574468085,0.0372340425531914,0.0,1.0
chaudhuri_2024_2,4.114583333333333,,46,247,12,3.8333333333333335,7,0.5,0.8260869565217391,4.239130434782608,0.0080971659919028,0.0,0.5
chaudhuri_2024_3,4.135416666666667,,68,404,18,3.7777777777777777,7,0.3888888888888889,0.8529411764705882,4.676470588235294,0.0396039603960396,0.0,1.0
chaudhuri_2024_4,5.145833333333333,,29,162,10,2.9,4,0.7,0.896551724137931,4.275862068965517,0.0493827160493827,0.0,1.0
chaudhuri_2024_5,4.364583333333333,,94,453,14,6.714285714285714,9,0.0714285714285714,0.5425531914893617,3.6595744680851054,0.0331125827814569,0.0,1.0
