table,path,n_rows,n_cols,sha256
surface_features,/home/eduardo/Projects/poemforge-paper/results/controls/surface_features.csv,46,14,cda1ba4e67a20bdd4255b513a8b2a26b807c7bc91938e284dd33cdcc4f1aba1e
nll_features,/home/eduardo/Projects/poemforge-paper/results/controls/nll_features.csv,230,1770,e0c3d4eb2df1897491d885aaa5ae02e5961e2bb58d59f38cdc937c4062f9caf9
control_feature_inventory,/home/eduardo/Projects/poemforge-paper/results/controls/control_feature_inventory.csv,1782,7,702e407688a8e395f600d3123e33ae70d27d090186bfef3f22383bd65afe55c9
